CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
19881528,KNN IDIOMAS,2,8593700,"4729602,4761001",RS,8841
19888660,LAUTEC - LAUDOS E INSPECOES MECANICAS,8,7112000,"7119704,7120100",RS,8841
19892969,VENTO NORTE CONSULTORIA E ASSESSORIA,8,7020400,"7490199,7990200,7912100,7911200,7319001,7319002",RS,8841
19898605,MERLIN MODAS,4,4781400,,RS,8841
19900832,JESSICA JAINE MARQUES DE OLIVEIRA,8,8599699,,RS,8841
19901301,BITENCOURT,8,4330405,"4330404,4781400,8130300,4713002,4762800,4399103",RS,8841
19920165,,8,4752100,,RS,8841
19934522,SCAPINTEC SOLUCOES EM INFORMATICA,8,9511800,8599603,RS,8841
19920359,MECANICA CAMPOS,4,4322303,"3314719,4329103,3314702,4520001,3321000",RS,8841
19952489,PONTO DOS BORDADOS,8,1340599,,RS,8841
19977201,BORIS ARTIGOS MILLITARES,8,4781400,"4755502,1412602,4789099,4759899,4782201,4763604",RS,8841
19977555,,8,8512100,"8513900,8520100,8541400,8599605,4761001",RS,8841
19982749,SABOR DE FESTA R & M,4,5620104,,RS,8841
1411007,BRILHANTE PAPELARIA E XEROX,8,4761003,"4762800,4753900,4789008,8219901,7733100,4763601,4761001,4751201,9511800,4751202,4789099,4763602,4763603,4754701,4721104,4754703,4755502,4756300",RS,8841
19985386,JOCELI IUSTEN SCHLOSSER,8,9602501,,RS,8841
19997106,,2,9529103,,RS,8841
19999045,,2,9602501,9602502,RS,8841
15516575,TOK DISTRIBUIDORA,4,4789001,"4772500,4646001,4781400,4642701,4643502,4649499",RS,8841
20006970,IZA CABELEREIRA,2,9602501,"4781400,4772500",RS,8841
20013663,MUNDO DA ARTE,4,3299099,"4781400,4789099,1749400,2229399",RS,8841
20018408,,8,8630503,8630599,RS,8841
20025759,PATO LAVACAR,8,4520005,,RS,8841
20042877,SANTOS BACHMANN,4,4530703,4530706,RS,8841
6375450,AUTO VIS,8,6621501,,RS,8841
20062516,ALICE E VANI,4,9529199,,RS,8841
20077792,,4,4781400,,RS,8841
20079114,COZINHARTE,8,5620104,"1033302,8230001,4712100,4789003,1031700,1094500,1096100,5612100,4721103,5620101,4723700,1093701,4729699",RS,8841
8769350,ALE INTERMEDIACAO DE NEGOCIOS SM,8,8291100,,RS,8841
20095384,,2,4330405,"4330404,4399199,4330403,4322301,4330402,4321500,4399103,2599301",RS,8841
20098162,,8,4781400,"4330404,4321500,4759899",RS,8841
20102815,,8,4772500,,RS,8841
20103850,MOVEIS DOIS IRMAOS,2,3101200,"3329501,4743100,9529105",RS,8841
20109557,,2,4399103,4330405,RS,8841
20112100,,2,4781400,,RS,8841
20115506,,8,4781400,"4789001,4782201,4772500",RS,8841
20119635,,8,5320202,,RS,8841
20128056,,2,4930201,"5212500,4930204,4929901",RS,8841
6227104,,2,4744001,"4781400,4772500,4759899,4761002,4742300,4741500,4744003,4789001,4751201,4729601,8299706,4789009",RS,8841
20164080,,4,9602501,,RS,8841
20185358,,8,4781400,"4789001,4772500,4782201",RS,8841
20198832,VRS PRESTADORA DE SERVICOS,8,4321500,"8122200,9512600,4330404,8130300",RS,8841
20201589,FLAVIO DCASTRO CABELEIREIROS,2,9602501,"9602502,4772500",RS,8841
20211398,,8,4321500,"4322301,3329501",RS,8841
20212813,GARAGEM MX,2,4619200,4789002,RS,8841
16795524,MARIN TEC INSTALACOES,8,4321500,"4322303,4520003,3321000",RS,8841
